actual_arrival_date,assignment,audit_date,country_of_origin,date_issued,description,eccn_code,entryid,eu_dual_use_code,expected_arrival_date,gdrivefolder,issue_version,jobcard,last_jobcard_comment,location,manufacturer_serialno,name,office,order_promise_date,patch,purchase_order,serialno,status,vendor,work_order
2018-01-26,,,USA,2017-11-17,Lemur-2 +Z Photodiode Array,9A515.x,24605,NLR,2018-01-31,1ZwEr85ewrmHJwV_oLLMAgkIWzKmqIkcF,3.1,1O5Onowkcnd9-nR-KVjJelFvmBbrcRhi7ndNNateila4,"<p><strong>Checked-out</strong> to <strong>MANUFACTURING</strong> for Parts Request <a href=""/inventory/parts_requests/0000083"">0000083</a></p>",MANUFACTURING,,CSSPOSZ,UK,2017-12-22 00:00:00+00:00,0,2170355,CPZP0173,FAULTY,EUROPEAN CIRCUITS LIMITED,
2018-01-26,,,USA,2017-11-17,Lemur-2 +Z Photodiode Array,9A515.x,24604,NLR,2018-01-31,1O-_eP4WJ0UHC3O6KSi1SeZvyLL4qRf0E,3.1,112q6RXDGw0bmWQYq2QJYASiUhNe8fRf1VBpBjxEjQWg,"<p><strong>Checked-out</strong> to <strong>MANUFACTURING</strong> for Parts Request <a href=""/inventory/parts_requests/0000083"">0000083</a></p>",MANUFACTURING,,CSSPOSZ,UK,2017-12-22 00:00:00+00:00,0,2170355,CPZP0172,FAULTY,EUROPEAN CIRCUITS LIMITED,
2017-09-08,,,GBR,2017-07-25,VHF and UHF antenna system with wide band UHF matching.  ,9A515.X,19197,NLR,2017-09-11,0B8g1PtZpbs-qQWNHcEQwSk5TTzg,1.3.1,1fVx6DAywJER_asnMI1WF1RScCUR6P7Jx2FDG3uJ_du8,"<p><a href=""https://app.asana.com/0/104938003044303/536887242822281"">NCR</a></p>",X-003B,HMK17/34 33162/1 SN005,AURORA,UK,2017-08-29 00:00:00+00:00,0,2170123,AURA0088,FAULTY,HALLMARK ELECTRONICS LIMITED,
2017-12-01,,,GBR,2017-11-10,Lemur Electrical Power System,9A515.X,23857,NLR,2017-12-04,1C4RuPskPI98YhDihLyfpLnrVHwMVkV9z,1.4.2,1EL5ZVPRWwcW2m1L49ywdI9qP4wsW7FulLjBc5GK1ZtA,<p>During Efficiency debug / disabling the 12V line supect U31 has been damaged. This will need replaced before re-testing as the 12V line has gone.&nbsp;</p>,X-003B,,LEMEPS,UK,2017-11-27 00:00:00+00:00,0,2170277,LEPS0107,FAULTY,HALLMARK ELECTRONICS LIMITED,
2016-02-05,,,ABW,2015-12-21,Flash S-band Radio RF PCB,9A515.x,8668,nlr,2016-02-05,0B8g1PtZpbs-qNF91aDg0SjNXaTg,1.2.1,1nBgb1CWhkZr4rAa1Vu-maAXZhlhUXf720o7QsVRpMp0,<p>Swapped out by SMG from FLMD0096 (Glas-Sled05) - This FLASHRF should be returned as FAULTY&nbsp;</p>,X-003A,,FLASHRF,UK,,0,5270,FLRF0094,FAULTY,HALLMARK ELECTRONICS LIMITED,
2016-05-05,,,USA,2016-05-05,PNI RM3100 Magnetometer Evaluation Module,EAR99,11299,NLR,2016-05-05,0B8g1PtZpbs-qSWd1anJLWjZ1a3M,1.0,1c7XYOvqtx1_hV2frmcjDPEHgOuxGv04f1pnXW3ba61w,"<p><strong>Checked-out</strong> to <strong>MANUFACTURING</strong> for Parts Request <a href=""/inventory/parts_requests/0000046"">0000046</a></p>",MANUFACTURING,,XRM3100,UK,,0,5104,RM3K1010,FAULTY,PNI,
2017-04-12,,,USA,2017-03-14,PNI RM3100 Magnetometer Evaluation Module,EAR99,18059,NLR,2017-04-13,0B8g1PtZpbs-qcUlMQjZpNlQ3Tm8,1.0,1kuuKGgQMBOngxGt_WpxB5Gqj9dB2Rqsfs1EonhlEdeg,"<p><strong>Checked-out</strong> to <strong>MANUFACTURING</strong> for Parts Request <a href=""/inventory/parts_requests/0000046"">0000046</a></p>",MANUFACTURING,,XRM3100,UK,2017-04-06 00:00:00+00:00,0,2170028,RM3K1029,FAULTY,WILLOW TECHNOLOGIES LTD,
2017-09-29,,,USA,2017-09-28,PNI RM3100 Magnetometer Evaluation Module,EAR99,20534,NLR,2017-09-29,0B8g1PtZpbs-qTHg1czhzOE1mX2M,1.0,1R_9bglOPbrGCbyNBWryf6JBHOFG0Kvnsfg3lHDHOfuE,"<p><strong>Checked-out</strong> to <strong>MANUFACTURING</strong> for Parts Request <a href=""/inventory/parts_requests/0000046"">0000046</a></p>",MANUFACTURING,,XRM3100,UK,2017-09-29 00:00:00+00:00,0,2170211,RM3K1052,FAULTY,WILLOW TECHNOLOGIES LTD,
2017-09-29,,,USA,2017-09-28,PNI RM3100 Magnetometer Evaluation Module,EAR99,20536,NLR,2017-09-29,0B8g1PtZpbs-qYzg1eTVaRWhQT0U,1.0,1Dm7a9urvaYw6RugvAV5ClhjMuc7dh5ByZ6R6wwpieA8,"<p><strong>Checked-out</strong> to <strong>MANUFACTURING</strong> for Parts Request <a href=""/inventory/parts_requests/0000046"">0000046</a></p>",MANUFACTURING,,XRM3100,UK,2017-09-29 00:00:00+00:00,0,2170211,RM3K1054,FAULTY,WILLOW TECHNOLOGIES LTD,
2017-08-07,,,USA,2017-03-14,PNI RM3100 Magnetometer Evaluation Module,EAR99,18080,NLR,2017-08-04,0B8g1PtZpbs-qTzRLc1hLTEhvOFk,1.0,1-MrPjUuppWH_X6h0aWEJ1ipvGIyaNg3zPyk1vbJ-OrU,"<p><strong>Checked-out</strong> to <strong>MANUFACTURING</strong> for Parts Request <a href=""/inventory/parts_requests/0000046"">0000046</a></p>",MANUFACTURING,,XRM3100,UK,2017-12-01 00:00:00+00:00,0,2170028,RM3K1050,FAULTY,WILLOW TECHNOLOGIES LTD,
2016-10-14,,,USA,2016-10-06,PNI RM3100 Magnetometer Evaluation Module,EAR99,13306,NLR,2016-10-24,0B8g1PtZpbs-qcmx6Mi1naWU5ZFU,1.0,1Gl7rXndIM8aBb4bhuQEQfrvNba6t56YSTSLc28GtAFI,"<p style="""">Debug inspection - coils on both MS1 and MS2 damaged beyond repair during vibe. Wire is snapped in the middle of the coil. <a href=""https://drive.google.com/drive/folders/0B8g1PtZpbs-qNkY3NEFncVg5Sjg"">(Pictures)</a></p>",MANUFACTURING,,XRM3100,UK,,0,5687,RM3K1017,FAULTY,WILLOW TECHNOLOGIES LTD,
2017-09-29,,,USA,2017-09-28,PNI RM3100 Magnetometer Evaluation Module,EAR99,20537,NLR,2017-09-29,0B8g1PtZpbs-qbUwtb2dBS25rMDg,1.0,1Ks0YmSSVnDZVarYzfcxOOorUqMZ0eY01mCB-Rc1wU_o,"<p><strong>Checked-out</strong> to <strong>MANUFACTURING</strong> for Parts Request <a href=""/inventory/parts_requests/0000046"">0000046</a></p>",MANUFACTURING,,XRM3100,UK,2017-09-29 00:00:00+00:00,0,2170211,RM3K1055,FAULTY,WILLOW TECHNOLOGIES LTD,
2016-10-14,SLED0003,,USA,2016-10-06,PNI RM3100 Magnetometer Evaluation Module,EAR99,13307,NLR,2016-10-24,0B8g1PtZpbs-qQ1NxRzZXdVE3azA,1.0,1GUUTmaJqrnyFn5XC5YPuAyaMg7ZDQsevE3IfCNf9UKg,"<p style="""">Debug inspection - wire snapped from coil in un-repairable area on MS1</p>",MANUFACTURING,,XRM3100,UK,,0,5687,RM3K1018,FAULTY,WILLOW TECHNOLOGIES LTD,
